,tweet_id,date,name,stage,rating_numerator,rating_denominator,favorite_count,retweet_count,full_text,jpg_url,img_num,p1,p1_conf,p1_dog,p2,p2_conf,p2_dog,p3,p3_conf,p3_dog
0,891815181378084864,07-31-2017,Archie,None,12.0,10,24662,4088,This is Archie. He is a rare Norwegian Pouncing Corgo. Lives in the tall grass. You never know when one may strike. 12/10 https://t.co/wUnZnhtVJB,https://pbs.twimg.com/media/DGBdLU1WsAANxJ9.jpg,1,Chihuahua,0.716012,True,Malamute,0.078253,True,Kelpie,0.0313789,True
1,891689557279858688,07-30-2017,Darla,None,13.0,10,41519,8504,This is Darla. She commenced a snooze mid meal. 13/10 happens to the best of us https://t.co/tD36da7qLQ,https://pbs.twimg.com/media/DF_q7IAWsAEuuN8.jpg,1,Paper Towel,0.17027799999999998,False,Labrador Retriever,0.168086,True,Spatula,0.0408359,False
2,891327558926688256,07-29-2017,Franklin,None,12.0,10,39704,9202,"This is Franklin. He would like you to stop calling him ""cute."" He is a very fierce shark and should be respected as such. 12/10 #BarkWeek https://t.co/AtUZn91f7f",https://pbs.twimg.com/media/DF6hr6BUMAAzZgT.jpg,2,Basset,0.555712,True,English Springer,0.22577,True,German Short-Haired Pointer,0.175219,True
3,891087950875897856,07-29-2017,None,None,13.0,10,19931,3063,Here we have a majestic great white breaching off South Africa's coast. Absolutely h*ckin breathtaking. 13/10 (IG: tucker_marlo) #BarkWeek https://t.co/kQ04fDDRmh,https://pbs.twimg.com/media/DF3HwyEWsAABqE6.jpg,1,Chesapeake Bay Retriever,0.425595,True,Irish Terrier,0.116317,True,Indian Elephant,0.07690219999999999,False
4,890729181411237888,07-28-2017,None,None,13.0,10,64428,18551,When you watch your owner call another dog a good boy but then they turn back to you and say you're a great boy. 13/10 https://t.co/v0nONBcwxq,https://pbs.twimg.com/media/DFyBahAVwAAhUTd.jpg,2,Pomeranian,0.566142,True,Eskimo Dog,0.17840599999999998,True,Pembroke,0.0765069,True
5,890609185150312448,07-27-2017,Zoey,None,13.0,10,27386,4203,This is Zoey. She doesn't want to be one of the scary sharks. Just wants to be a snuggly pettable boatpet. 13/10 #BarkWeek https://t.co/9TwLuAGH0b,https://pbs.twimg.com/media/DFwUU__XcAEpyXI.jpg,1,Irish Terrier,0.487574,True,Irish Setter,0.193054,True,Chesapeake Bay Retriever,0.118184,True
6,890006608113172480,07-26-2017,Koda,None,13.0,10,30220,7214,This is Koda. He is a South Australian deckshark. Deceptively deadly. Frighteningly majestic. 13/10 would risk a petting #BarkWeek https://t.co/dVPW0B0Mme,https://pbs.twimg.com/media/DFnwSY4WAAAMliS.jpg,1,Samoyed,0.957979,True,Pomeranian,0.0138835,True,Chow,0.00816748,True
7,889638837579907072,07-25-2017,Ted,None,12.0,10,26759,4472,This is Ted. He does his best. Sometimes that's not enough. But it's ok. 12/10 would assist https://t.co/f8dEDcrKSR,https://pbs.twimg.com/media/DFihzFfXsAYGDPR.jpg,1,French Bulldog,0.99165,True,Boxer,0.00212864,True,Staffordshire Bullterrier,0.00149818,True
8,889278841981685760,07-24-2017,Oliver,None,13.0,10,24875,5286,This is Oliver. You're witnessing one of his many brutal attacks. Seems to be playing with his victim. 13/10 fr*ckin frightening #BarkWeek https://t.co/WpHvrQedPb,https://pbs.twimg.com/ext_tw_video_thumb/889278779352338437/pu/img/VlbFB3v8H8VwzVNY.jpg,1,Whippet,0.626152,True,Borzoi,0.194742,True,Saluki,0.0273507,True
9,888917238123831296,07-23-2017,Jim,None,12.0,10,28675,4419,This is Jim. He found a fren. Taught him how to sit like the good boys. 12/10 for both https://t.co/chxruIOUJN,https://pbs.twimg.com/media/DFYRgsOUQAARGhO.jpg,1,Golden Retriever,0.714719,True,Tibetan Mastiff,0.120184,True,Labrador Retriever,0.105506,True
10,888554962724278272,07-22-2017,Ralphus,None,13.0,10,19536,3491,This is Ralphus. He's powering up. Attempting maximum borkdrive. 13/10 inspirational af https://t.co/YnYAFCTTiK,https://pbs.twimg.com/media/DFTH_O-UQAACu20.jpg,3,Siberian Husky,0.700377,True,Eskimo Dog,0.166511,True,Malamute,0.111411,True
11,888078434458587136,07-20-2017,Gerald,None,12.0,10,21439,3440,This is Gerald. He was just told he didn't get the job he interviewed for. A h*ckin injustice. 12/10 didn't want the job anyway https://t.co/DK7iDPfuRX,https://pbs.twimg.com/media/DFMWn56WsAAkA7B.jpg,1,French Bulldog,0.995026,True,Pug,0.000931908,True,Bull Mastiff,0.000903211,True
12,887705289381826560,07-19-2017,Jeffrey,None,13.0,10,29731,5301,This is Jeffrey. He has a monopoly on the pool noodles. Currently running a 'boop for two' midweek sale. 13/10 h*ckin strategic https://t.co/PhrUk20Q64,https://pbs.twimg.com/media/DFHDQBbXgAEqY7t.jpg,1,Basset,0.821664,True,Redbone,0.0875815,True,Weimaraner,0.026236400000000003,True
13,887517139158093824,07-19-2017,None,None,14.0,10,45581,11480,I've yet to rate a Venezuelan Hover Wiener. This is such an honor. 14/10 paw-inspiring af (IG: roxy.thedoxy) https://t.co/20VrLAA8ba,https://pbs.twimg.com/ext_tw_video_thumb/887517108413886465/pu/img/WanJKwssZj4VJvL9.jpg,1,Limousine,0.130432,False,Tow Truck,0.0291754,False,Shopping Cart,0.0263208,False
14,887343217045368832,07-18-2017,None,None,13.0,10,33192,10238,You may not have known you needed to see this today. 13/10 please enjoy (IG: emmylouroo) https://t.co/WZqNqygEyV,https://pbs.twimg.com/ext_tw_video_thumb/887343120832229379/pu/img/6HSuFrW1lzI_9Mht.jpg,1,Mexican Hairless,0.330741,True,Sea Lion,0.275645,False,Weimaraner,0.134203,True
15,887101392804085760,07-18-2017,None,None,12.0,10,30116,5868,This... is a Jubilant Antarctic House Bear. We only rate dogs. Please only send dogs. Thank you... 12/10 would suffocate in floof https://t.co/4Ad1jzJSdp,https://pbs.twimg.com/media/DE-eAq6UwAA-jaE.jpg,1,Samoyed,0.733942,True,Eskimo Dog,0.0350295,True,Staffordshire Bullterrier,0.029704700000000007,True
16,886983233522544640,07-17-2017,Maya,None,13.0,10,34636,7642,This is Maya. She's very shy. Rarely leaves her cup. 13/10 would find her an environment to thrive in https://t.co/I6oNy0CgiT,https://pbs.twimg.com/media/DE8yicJW0AAAvBJ.jpg,2,Chihuahua,0.793469,True,Toy Terrier,0.143528,True,Can Opener,0.0322529,False
17,886736880519319552,07-16-2017,Mingus,None,13.0,10,11878,3228,"This is Mingus. He's a wonderful father to his smol pup. Confirmed 13/10, but he needs your help

https://t.co/bVi0Yr4Cff https://t.co/ISvKOSkd5b",https://pbs.twimg.com/media/DE5Se8FXcAAJFx4.jpg,1,Kuvasz,0.309706,True,Great Pyrenees,0.186136,True,Dandie Dinmont,0.08634630000000001,True
18,886680336477933568,07-16-2017,Derek,None,13.0,10,22101,4393,This is Derek. He's late for a dog meeting. 13/10 pet...al to the metal https://t.co/BCoWue0abA,https://pbs.twimg.com/media/DE4fEDzWAAAyHMM.jpg,1,Convertible,0.738995,False,Sports Car,0.139952,False,Car Wheel,0.0441727,False
19,886366144734445568,07-15-2017,Roscoe,pupper,12.0,10,20875,3146,This is Roscoe. Another pupper fallen victim to spontaneous tongue ejections. Get the BlepiPen immediate. 12/10 deep breaths Roscoe https://t.co/RGE08MIJox,https://pbs.twimg.com/media/DE0BTnQUwAApKEH.jpg,1,French Bulldog,0.999201,True,Chihuahua,0.000361178,True,Boston Bull,7.55616e-05,True
20,885984800019947520,07-14-2017,Jimbo,None,12.0,10,32183,6685,Viewer discretion advised. This is Jimbo. He will rip ur finger right h*ckin off. Other dog clearly an accessory. 12/10 pls pet with caution https://t.co/BuveP0uMF1,https://pbs.twimg.com/media/DEumeWWV0AA-Z61.jpg,1,Blenheim Spaniel,0.972494,True,Shih-Tzu,0.00663012,True,Bernese Mountain Dog,0.00623915,True
21,885528943205470208,07-13-2017,Maisey,None,13.0,10,35459,6328,This is Maisey. She fell asleep mid-excavation. Happens to the best of us. 13/10 would pat noggin approvingly https://t.co/tp1kQ8i9JF,https://pbs.twimg.com/media/DEoH3yvXgAAzQtS.jpg,1,Pug,0.369275,True,Labrador Retriever,0.265835,True,Kuvasz,0.134697,True
22,885167619883638784,07-12-2017,None,None,13.0,10,21602,4312,Here we have a corgi undercover as a malamute. Pawbably doing important investigative work. Zero control over tongue happenings. 13/10 https://t.co/44ItaMubBf,https://pbs.twimg.com/media/DEi_N9qXYAAgEEw.jpg,4,Malamute,0.8124819999999999,True,Siberian Husky,0.0717125,True,Eskimo Dog,0.0557697,True
23,884562892145688576,07-11-2017,Kevin,None,13.0,10,23953,4656,This is Kevin. He's just so happy. 13/10 what is your secret Kevin https://t.co/1r4MFCbCX5,https://pbs.twimg.com/media/DEaZQkfXUAEC7qB.jpg,1,Pug,0.5464060000000001,True,French Bulldog,0.404291,True,Brabancon Griffon,0.0440019,True
24,884441805382717440,07-10-2017,None,None,14.0,10,26603,5567,"I present to you, Pup in Hat. Pup in Hat is great for all occasions. Extremely versatile. Compact as h*ck. 14/10 (IG: itselizabethgales) https://t.co/vvBOcC2VdC",https://pbs.twimg.com/media/DEYrIZwWsAA2Wo5.jpg,1,Pembroke,0.993225,True,Cardigan,0.00321648,True,Chihuahua,0.00208089,True
25,883482846933004288,07-08-2017,Bella,None,13.5,10,45252,9795,"This is Bella. She hopes her smile made you smile. If not, she is also offering you her favorite monkey. 13.5/10 https://t.co/qjrljjt948",https://pbs.twimg.com/media/DELC9dZXUAADqUk.jpg,1,Golden Retriever,0.943082,True,Labrador Retriever,0.032409,True,Kuvasz,0.00550072,True
26,883117836046086144,07-07-2017,None,None,13.0,10,36664,6572,"Please only send dogs. We don't rate mechanics, no matter how h*ckin good. Thank you... 13/10 would sneak a pat https://t.co/Se5fZ9wp5E",https://pbs.twimg.com/media/DEF2-_hXoAAs62q.jpg,2,Golden Retriever,0.949562,True,Labrador Retriever,0.045947900000000014,True,Kuvasz,0.00247094,True
27,882992080364220416,07-06-2017,Rusty,None,13.0,10,23620,3864,This is Rusty. He wasn't ready for the first pic. Clearly puppared for the second. 13/10 confirmed great boy https://t.co/tyER0KpdXj,https://pbs.twimg.com/media/DEEEnIqXYAAiJh_.jpg,1,Eskimo Dog,0.466778,True,Siberian Husky,0.406044,True,Dingo,0.07341439999999999,False
28,882762694511734784,07-06-2017,Gus,pupper,12.0,10,27899,4843,This is Gus. He's quite the cheeky pupper. Already perfected the disinterested wink. 12/10 would let steal my girl https://t.co/D43I96SlVu,https://pbs.twimg.com/media/DEAz_HHXsAA-p_z.jpg,1,Labrador Retriever,0.85005,True,Chesapeake Bay Retriever,0.074257,True,Flat-Coated Retriever,0.015579399999999997,True
29,882627270321602560,07-05-2017,Stanley,None,13.0,10,27518,5996,This is Stanley. He has his first swim lesson today. Doggle straps adjusted. Ready to go. 13/10 Phelps is nervous (IG: stanleythe_corgi) https://t.co/Nx52PGwH94,https://pbs.twimg.com/media/DD-40X3WAAAJPU5.jpg,1,Pembroke,0.542982,True,Chihuahua,0.251988,True,Cardigan,0.107699,True
30,882268110199369728,07-04-2017,Alfy,None,13.0,10,44318,11425,This is Alfy. You're witnessing his first watermelon experience. I think it was a success. 13/10 happy 4th Alfy 🇺🇸 https://t.co/fYP5RlutfA,https://pbs.twimg.com/media/DD5yKdPW0AArzX8.jpg,1,Golden Retriever,0.762211,True,Labrador Retriever,0.0989849,True,Cocker Spaniel,0.0171995,True
